ride_id,started_at,ended_at,start_station_name,end_station_name,ride_length,bike_type,costumer_type,ride_duration,ride_month,day_of_week
A7475DBEBB4B2EAF,10/6/2021 17:54:00,10/6/2021 17:58:00,Michigan Ave & 14th St,Michigan Ave & 8th St,0:04:33,classic_bike,casual,4,10,Wednesday
5257330151E2A855,10/6/2021 17:55:00,10/6/2021 18:07:00,Western Ave & Congress Pkwy,Wood St & Taylor St (Temp),0:11:32,classic_bike,member,12,10,Wednesday
B7A1A15644BEBAF3,10/6/2021 17:55:00,10/6/2021 18:07:00,DuSable Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,0:12:07,electric_bike,casual,12,10,Wednesday
3D305CAF8A61EB74,10/6/2021 17:55:00,10/6/2021 18:10:00,Clinton St & Washington Blvd,New St & Illinois St,0:14:45,classic_bike,member,15,10,Wednesday
BB5469E2659457E7,10/6/2021 17:55:00,10/6/2021 18:24:00,Larrabee St & Kingsbury St,Walsh Park,0:28:45,classic_bike,member,29,10,Wednesday
0BF33073C7DCA7A9,10/6/2021 17:57:00,10/6/2021 18:02:00,Ellis Ave & 60th St,Ellis Ave & 55th St,0:04:35,classic_bike,casual,5,10,Wednesday
C3FFB1A21057C009,10/6/2021 17:57:00,10/6/2021 18:11:00,Jefferson St & Monroe St,Columbus Dr & Randolph St,0:14:48,classic_bike,casual,14,10,Wednesday
C3D533D4A7CF5E4B,10/6/2021 17:57:00,10/6/2021 18:18:00,Franklin St & Chicago Ave,Damen Ave & Division St,0:21:36,classic_bike,member,21,10,Wednesday
D32A0A5509C6BEF3,10/6/2021 17:58:00,10/6/2021 18:05:00,Dearborn St & Adams St,Green St & Madison St,0:06:50,electric_bike,member,7,10,Wednesday
2AED653ABFDF9275,10/6/2021 17:58:00,10/6/2021 18:29:00,Ashland Ave & Blackhawk St,Ravenswood Ave & Irving Park Rd,0:31:40,classic_bike,member,31,10,Wednesday
AC01391F62BB1AE6,10/6/2021 17:58:00,10/6/2021 18:05:00,Morgan St & Lake St,Kingsbury St & Kinzie St,0:07:39,classic_bike,member,7,10,Wednesday
62B7FCCB73D1FCD2,10/6/2021 17:59:00,10/6/2021 18:15:00,Theater on the Lake,Clark St & Schiller St,0:16:10,classic_bike,member,16,10,Wednesday
900838E91CEAC5ED,10/6/2021 18:00:00,10/6/2021 18:01:00,Fairbanks Ct & Grand Ave,Fairbanks St & Superior St,0:01:57,classic_bike,member,1,10,Wednesday
159A32313304A5BC,10/6/2021 18:00:00,10/6/2021 18:04:00,Clark St & Wellington Ave,Clark St & Drummond Pl,0:04:12,classic_bike,member,4,10,Wednesday
7F08CA941AFC98EE,10/6/2021 18:00:00,10/6/2021 18:16:00,Southport Ave & Waveland Ave,Clark St & Wellington Ave,0:16:06,classic_bike,member,16,10,Wednesday
1F7DD4635FED76C7,10/6/2021 18:01:00,10/6/2021 18:34:00,DuSable Lake Shore Dr & Ohio St,Ashland Ave & Grace St,0:32:48,classic_bike,member,33,10,Wednesday
C8D511D200802EDA,10/6/2021 18:01:00,10/6/2021 18:11:00,Sheffield Ave & Willow St,Halsted St & North Branch St,0:10:12,classic_bike,casual,10,10,Wednesday
3AFB9835D79DD3B2,10/6/2021 18:02:00,10/6/2021 18:47:00,Michigan Ave & Jackson Blvd,Broadway & Thorndale Ave,0:45:02,electric_bike,casual,45,10,Wednesday
D7B494D88CE77423,10/6/2021 18:02:00,10/6/2021 18:06:00,Lincoln Ave & Belmont Ave,Lincoln Ave & Diversey Pkwy,0:04:53,classic_bike,member,4,10,Wednesday
3FFDBABE17F93C5A,10/6/2021 18:03:00,10/6/2021 18:14:00,Franklin St & Adams St (Temp),Clinton St & Jackson Blvd,0:11:32,classic_bike,member,11,10,Wednesday
C222F101C9331C30,10/6/2021 18:03:00,10/6/2021 18:17:00,Rush St & Cedar St,Desplaines St & Kinzie St,0:14:06,classic_bike,member,14,10,Wednesday
9635C265C95F5F0F,10/6/2021 18:03:00,10/6/2021 18:26:00,Wabash Ave & 9th St,Sedgwick St & Schiller St,0:23:17,electric_bike,member,23,10,Wednesday
5B83AD7DFAB697C6,10/6/2021 18:04:00,10/6/2021 18:11:00,Paulina St & 18th St,May St & Cullerton St,0:07:08,classic_bike,casual,7,10,Wednesday
2C6DDA1824CED6EC,10/6/2021 18:04:00,10/6/2021 18:08:00,Wilton Ave & Belmont Ave,Halsted St & Roscoe St,0:04:28,classic_bike,casual,4,10,Wednesday
A9C2C7ABDADEF166,10/6/2021 18:05:00,10/6/2021 18:19:00,Damen Ave & Pierce Ave,Ogden Ave & Race Ave,0:13:53,classic_bike,member,14,10,Wednesday
B11E7C6F18F411FF,10/6/2021 18:06:00,10/6/2021 18:45:00,Sheffield Ave & Fullerton Ave,Wood St & Milwaukee Ave,0:39:18,classic_bike,casual,39,10,Wednesday
7F48959CC0F1B739,10/6/2021 18:06:00,10/6/2021 18:17:00,Paulina Ave & North Ave,Carpenter St & Huron St,0:11:18,classic_bike,member,11,10,Wednesday
F2C53DCEB7F9AD75,10/6/2021 18:06:00,10/6/2021 18:06:00,Clark St & Berwyn Ave,Clark St & Berwyn Ave,0:00:46,electric_bike,casual,0,10,Wednesday
5B14ABD82DDB7CE6,10/6/2021 18:07:00,10/6/2021 18:46:00,Western Ave & Division St,Wood St & Chicago Ave,0:39:39,classic_bike,member,39,10,Wednesday
1552E58381307A8C,10/6/2021 18:07:00,10/6/2021 18:27:00,Sheffield Ave & Wellington Ave,Lakefront Trail & Wilson Ave,0:20:44,classic_bike,member,20,10,Wednesday
55471EE85852F1BA,10/6/2021 18:07:00,10/6/2021 18:21:00,DuSable Lake Shore Dr & Diversey Pkwy,Larrabee St & Armitage Ave,0:14:07,classic_bike,member,14,10,Wednesday
75904E96F9E96BDF,10/6/2021 18:07:00,10/6/2021 18:26:00,Ritchie Ct & Banks St,Burling St & Diversey Pkwy,0:19:00,electric_bike,casual,19,10,Wednesday
001660F7A8ABFE1C,10/6/2021 18:07:00,10/6/2021 18:08:00,Fairbanks Ct & Grand Ave,Fairbanks St & Superior St,0:01:28,electric_bike,member,1,10,Wednesday
BE8A20DAF21E3429,10/6/2021 18:08:00,10/6/2021 18:27:00,Broadway & Sheridan Rd,Racine Ave & Fullerton Ave,0:19:43,electric_bike,casual,19,10,Wednesday
847E7E5E86DA40BE,10/6/2021 18:09:00,10/6/2021 18:12:00,Clark St & Columbia Ave,Sheridan Rd & Loyola Ave,0:03:07,electric_bike,member,3,10,Wednesday
AF13C39D67CF693E,10/6/2021 18:09:00,10/6/2021 18:18:00,Wells St & Hubbard St,Ogden Ave & Chicago Ave,0:09:15,classic_bike,casual,9,10,Wednesday
